,!,#,&,*,+,++,+.,-,--,-.,.,..,x
+,4.0,9.0,10.0,2.0,783.0,42.0,32.0,65.0,1.0,8.0,6.0,1.0,136.0
-,0.0,0.0,0.0,0.0,3.0,0.0,0.0,69.0,6.0,1.0,3.0,0.0,14.0
